frame_id,window occupied,window facing,window angle,middle occupied,middle facing,middle angle,aisle occupied,aisle facing,aisle angle,window touch,window num touch,face touch,face num touch
15,,,,,,,,,,,,,
75,,,,,,,,,,,,,
90,,,,,,,,,,,,,
105,,,,,,,,,,,,,
120,,,,,,,,,,,,,
195,,,,,,,,,,,,,
225,,,,,,,,,,,,,
255,,,,,,,,,,,,,
270,,,,,,,,,,,,,
285,,,,,,,,,,,,,
300,,,,,,,,,,,,,
330,,,,,,,,,,,,,
405,,,,,,,,,,,,,
465,,,,,,,,,,,,,
570,,,,,,,,,,,,,
600,,,,,,,,,,,,,
615,,,,,,,,,,,,,
660,,,,,,,,,,,,,
690,,,,,,,,,,,,,
765,,,,,,,,,,,,,
780,,,,,,,,,,,,,
795,,,,,,,,,,,,,
810,,,,,,,,,,,,,
1005,,,,,,,,,,,,,
1020,,,,,,,,,,,,,
1065,,,,,,,,,,,,,
1095,,,,,,,,,,,,,
1110,,,,,,,,,,,,,
1125,,,,,,,,,,,,,
1140,,,,,,,,,,,,,
1155,,,,,,,,,,,,,
1170,,,,,,,,,,,,,
1185,,,,,,,,,,,,,
1200,,,,,,,,,,,,,
1215,,,,,,,,,,,,,
1230,,,,,,,,,,,,,
1245,,,,,,,,,,,,,
1275,,,,,,,,,,,,,
1290,,,,,,,,,,,,,
1305,,,,,,,,,,,,,
1320,,,,,,,,,,,,,
1335,,,,,,,,,,,,,
1350,,,,,,,,,,,,,
1365,,,,,,,,,,,,,
1380,,,,,,,,,,,,,
1395,,,,,,,,,,,,,
1410,,,,,,,,,,,,,
1425,,,,,,,,,,,,,
1440,,,,,,,,,,,,,
1455,,,,,,,,,,,,,
1470,,,,,,,,,,,,,
1485,,,,,,,,,,,,,
1500,,,,,,,,,,,,,
1530,,,,,,,,,,,,,
1575,,,,,,,,,,,,,
1590,,,,,,,,,,,,,
1605,,,,,,,,,,,,,
1620,,,,,,,,,,,,,
1635,,,,,,,,,,,,,
1650,,,,,,,,,,,,,
1665,,,,,,,,,,,,,
1680,,,,,,,,,,,,,
1695,,,,,,,,,,,,,
1710,,,,,,,,,,,,,
1725,,,,,,,,,,,,,
1740,,,,,,,,,,,,,
1755,,,,,,,,,,,,,
1770,,,,,,,,,,,,,
1785,,,,,,,,,,,,,
1800,,,,,,,,,,,,,
1815,,,,,,,,,,,,,
1830,,,,,,,,,,,,,
1845,,,,,,,,,,,,,
1860,,,,,,,,,,,,,
1875,,,,,,,,,,,,,
1890,,,,,,,,,,,,,
1905,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1935,,,,,,,,,,,,,
1950,,,,,,,,,,,,,
1965,,,,,,,,,,,,,
1980,,,,,,,,,,,,,
1995,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
2055,,,,,,,,,,,,,
2085,,,,,,,,,,,,,
2100,,,,,,,,,,,,,
2115,,,,,,,,,,,,,
2130,,,,,,,,,,,,,
2145,,,,,,,,,,,,,
2160,,,,,,,,,,,,,
2175,,,,,,,,,,,,,
2190,,,,,,,,,,,,,
2205,,,,,,,,,,,,,
2220,,,,,,,,,,,,,
2235,,,,,,,,,,,,,
2265,,,,,,,,,,,,,
2280,,,,,,,,,,,,,
2295,,,,,,,,,,,,,
2310,,,,,,,,,,,,,
2325,,,,,,,,,,,,,
2340,,,,,,,,,,,,,
2355,,,,,,,,,,,,,
2370,,,,,,,,,,,,,
2385,,,,,,,,,,,,,
2400,,,,,,,,,,,,,
2415,,,,,,,,,,,,,
2430,,,,,,,,,,,,,
2445,,,,,,,,,,,,,
2460,,,,,,,,,,,,,
2475,,,,,,,,,,,,,
2490,,,,,,,,,,,,,
2505,,,,,,,,,,,,,
2520,,,,,,,,,,,,,
2535,,,,,,,,,,,,,
2550,,,,,,,,,,,,,
2565,,,,,,,,,,,,,
2580,,,,,,,,,,,,,
2595,,,,,,,,,,,,,
2610,,,,,,,,,,,,,
2625,,,,,,,,,,,,,
2640,,,,,,,,,,,,,
2655,,,,,,,,,,,,,
2670,,,,,,,,,,,,,
2685,,,,,,,,,,,,,
2700,,,,,,,,,,,,,
2715,,,,,,,,,,,,,
2730,,,,,,,,,,,,,
2745,,,,,,,,,,,,,
2760,,,,,,,,,,,,,
2775,,,,,,,,,,,,,
2790,,,,,,,,,,,,,
2805,,,,,,,,,,,,,
2820,,,,,,,,,,,,,
2835,,,,,,,,,,,,,
2850,,,,,,,,,,,,,
2865,,,,,,,,,,,,,
2880,,,,,,,,,,,,,
2895,,,,,,,,,,,,,
2910,,,,,,,,,,,,,
